# Words missing audio files (235 total)
# Format: word | CEFR | translation
# Generated after cleanup step 2
#
activist | C1 | 活动家
reportedly | C1 | 据报道
representation | C1 | 代表
reproduce | C1 | 繁殖
reproduction | C1 | 繁殖
republic | C1 | 共和国
resemble | C1 | 相似
reside | C1 | 居住
residence | C1 | 住所
residential | C1 | 住宅的
safe | A2 | 安全的
Saturday | A1 | 星期六
sensible | B1 | 明智的
shadow | B2 | 影子
situated | C1 | 坐落于
skip | C1 | 跳过
slam | C1 | 猛关
slap | C1 | 掌击
slash | C1 | 削减
slavery | C1 | 奴隶制
slot | C1 | 槽
smash | C1 | 粉碎
snap | C1 | 折断
soak | C1 | 浸泡
soar | C1 | 飙升
socialist | C1 | 社会主义者
sole | C1 | 唯一的
solely | C1 | 仅仅
solicitor | C1 | 律师
solidarity | C1 | 团结
solo | C1 | 独奏
sovereignty | C1 | 主权
spam | C1 | 垃圾邮件
span | C1 | 跨度
spark | C1 | 火花
specialized | C1 | 专业的
specification | C1 | 规格
specimen | C1 | 标本
spectacle | C1 | 景象
spectrum | C1 | 光谱
sphere | C1 | 球体
spill | B2 | 溢出
spin | C1 | 旋转
spotlight | C1 | 聚光灯
spouse | C1 | 配偶
spy | C1 | 间谍
squeeze | C1 | 挤压
stab | C1 | 刺
stabilize | C1 | 稳定
stake | C1 | 利害关系
standing | C1 | 常设的
stark | C1 | 鲜明的
statement | A1 | 声明
statistical | C1 | 统计的
steer | C1 | 引导
stem | C1 | 茎
stereotype | C1 | 刻板印象
stimulus | C1 | 刺激
stir | C1 | 搅拌
storage | C1 | 存储
straightforward | C1 | 简单的
strain | C1 | 压力
strand | C1 | 线
strategic | C1 | 战略的
striking | C1 | 显著的
strip | C1 | 剥夺
strive | C1 | 奋斗
structural | C1 | 结构的
stumble | C1 | 绊倒
stun | C1 | 使震惊
submission | C1 | 提交
subscriber | C1 | 订阅者
subscription | C1 | 订阅
subsidy | C1 | 补贴
substantial | C1 | 大量的
substantially | C1 | 大量地
substitute | C1 | 替代
subtle | C1 | 微妙的
suburban | C1 | 郊区的
succession | C1 | 继承
successive | C1 | 连续的
successor | C1 | 继任者
suck | C1 | 吸
sue | C1 | 起诉
suicide | C1 | 自杀
suite | C1 | 套房
summit | C1 | 峰会
superb | C1 | 极好的
superior | C1 | 优越的
supervise | C1 | 监督
supervision | C1 | 监督
supervisor | C1 | 主管
supplement | C1 | 补充
supposedly | C1 | 据称
suppress | C1 | 压制
supreme | C1 | 最高的
surge | C1 | 激增
surplus | C1 | 过剩
surrender | C1 | 投降
surveillance | C1 | 监视
suspension | C1 | 暂停
suspicion | C1 | 怀疑
suspicious | C1 | 可疑的
sustain | C1 | 维持
swing | C1 | 摇摆
sword | C1 | 剑
symbolic | C1 | 象征的
syndrome | C1 | 综合症
synthesis | C1 | 合成
systematic | C1 | 系统的
tactic | C1 | 策略
tactical | C1 | 战术的
taxpayer | C1 | 纳税人
tempt | C1 | 诱惑
tenant | C1 | 租户
tender | C1 | 温柔的
tenure | C1 | 任期
terminate | C1 | 终止
terrain | C1 | 地形
terrific | C1 | 极好的
testify | C1 | 作证
testimony | C1 | 证词
texture | C1 | 质地
thankfully | C1 | 幸运地
theatrical | C1 | 戏剧的
theology | C1 | 神学
theoretical | C1 | 理论的
therapy | B2 | 治疗
thereafter | C1 | 此后
thereby | C1 | 因此
thought-provoking | C1 | 发人深省的
thoughtful | C1 | 体贴的
thread | C1 | 线程
threshold | C1 | 门槛
thrilled | C1 | 兴奋的
thrive | C1 | 茁壮成长
tide | C1 | 潮汐
tighten | C1 | 收紧
timber | C1 | 木材
timely | C1 | 及时的
tobacco | C1 | 烟草
tolerance | C1 | 容忍
tolerate | C1 | 忍受
toll | C1 | 通行费
towel | A2 | 毛巾
troubled | C1 | 困扰的
various | B1 | 各种的
venture | C1 | 冒险
weave | C1 | 编织
